hamnosys,ucs
tab ,\u0009
linefeed ,\u000a 
pagebreak ,\u000c 
return ,\u000d 
hamversion40 ,\ue0f1 
hamspace ,\u0020 
hamexclaim ,\u0021 
hamquery ,\u003f 
hamfullstop ,\u002e 
hamcomma ,\u002c 
hamplus ,\ue0e7 
hammetaalt ,\u007c 
hamclocku ,\ue0b0 
hamclockul ,\ue0b1 
hamclockl ,\ue0b2 
hamclockdl ,\ue0b3 
hamclockd ,\ue0b4 
hamclockdr ,\ue0b5 
hamclockr ,\ue0b6 
hamclockur ,\ue0b7 
hamclockfull ,\ue0b8 
hamsymmpar ,\ue0e8 
hamsymmlr ,\ue0e9 
hamfist ,\ue000 
hamflathand ,\ue001 
hamfinger2 ,\ue002 
hamfinger23 ,\ue003 
hamfinger23spread ,\ue004 
hamfinger2345 ,\ue005 
hamthumboutmod ,\ue00c 
hamthumbacrossmod ,\ue00d 
hampinch12 ,\ue006 
hampinchall ,\ue007 
hampinch12open ,\ue008 
hamcee12 ,\ue009 
hamceeall ,\ue00a 
hamceeopen ,\ue00b 
hamthumbopenmod ,\ue00e 
hamfingerstraightmod ,\ue010 
hamfingerbendmod ,\ue011 
hamfingerhookmod ,\ue012 
hamnondominant ,\ue0ea 
hamdoublebent ,\ue013 
hamdoublehooked ,\ue014 
hamextfingeru ,\ue020 
hamextfingerur ,\ue021 
hamextfingerr ,\ue022 
hamextfingerdr ,\ue023 
hamextfingerd ,\ue024 
hamextfingerdl ,\ue025 
hamextfingerl ,\ue026 
hamextfingerul ,\ue027 
hamextfingerol ,\ue028 
hamextfingero ,\ue029 
hamextfingeror ,\ue02a 
hamextfingeril ,\ue02b 
hamextfingeri ,\ue02c 
hamextfingerir ,\ue02d 
hamextfingerui ,\ue02e 
hamextfingerdi ,\ue02f 
hamextfingerdo ,\ue030 
hamextfingeruo ,\ue031 
hamearlobe ,\ue048 
hamnostrils ,\ue046 
hamshouldertop ,\ue050 
hampalmu ,\ue038 
hampalmur ,\ue039 
hampalmr ,\ue03a 
hampalmdr ,\ue03b 
hampalmd ,\ue03c 
hampalmdl ,\ue03d 
hampalml ,\ue03e 
hampalmul ,\ue03f 
hamreplace ,\ue0aa 
hamarmextended ,\ue0d4 
hambehind ,\ue0d5 
hametc ,\ue0ec 
hamorirelative ,\ue0ed 
hamtongue ,\ue04b 
hamteeth ,\ue04c 
hamstomach ,\ue053 
hamneutralspace ,\ue05f 
hamhead ,\ue040 
hamheadtop ,\ue041 
hamforehead ,\ue042 
hameyebrows ,\ue043 
hameyes ,\ue044 
hamnose ,\ue045 
hamear ,\ue047 
hamcheek ,\ue049 
hamlips ,\ue04a 
hamchin ,\ue04d 
hamunderchin ,\ue04e 
hamneck ,\ue04f 
hamshoulders ,\ue051 
hamchest ,\ue052 
hambelowstomach ,\ue054 
hamlrbeside ,\ue058 
hamlrat ,\ue059 
hamupperarm ,\ue060 
hamelbow ,\ue061 
hamelbowinside ,\ue062 
hamlowerarm ,\ue063 
hamwristback ,\ue064 
hamwristpulse ,\ue065 
hamthumbball ,\ue066 
hampalm ,\ue067 
hamhandback ,\ue068 
hamthumb ,\ue070 
hamindexfinger ,\ue071 
hammiddlefinger ,\ue072 
hamringfinger ,\ue073 
hampinky ,\ue074 
hamthumbside ,\ue069 
hampinkyside ,\ue06a 
hambetween ,\ue0e6 
hamfingertip ,\ue075 
hamfingernail ,\ue076 
hamfingerpad ,\ue077 
hamfingermidjoint ,\ue078 
hamfingerbase ,\ue079 
hamfingerside ,\ue07a 
hamwristtopulse ,\ue07c